id|titulo|precio|envio|tipoVendedor|condicion|cantidadVendida|lugar|link|moneda
1| Oferta Samsung Galaxy E7 4g 16gb 13mpx Ram2g Quad Core Nuevo |969.0||MercadoLíder Gold|Artículo nuevo|121|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416666573-oferta-samsung-galaxy-e7-4g-16gb-13mpx-ram2g-quad-core-nuevo-_JM|S/.
2| Oferta Huawei P8 Lite Octa Core 4g Ram2gb Libre Caja Sellada |759.0||MercadoLíder Gold|Artículo nuevo|595|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416902052-oferta-huawei-p8-lite-octa-core-4g-ram2gb-libre-caja-sellada-_JM|S/.
3| Oferta Moto G 3 Tercera Generacion 2015 4g 8gb 13mpxl Nuevo |799.0||MercadoLíder Gold|Artículo nuevo|204|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416758619-oferta-moto-g-3-tercera-generacion-2015-4g-8gb-13mpxl-nuevo-_JM|S/.
4| Huawei P8 Lite Octa Core 4g Nuevo En Caja+tienda+garantia¡¡ |759.0||MercadoLíder Gold|Artículo nuevo|269|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416902072-huawei-p8-lite-octa-core-4g-nuevo-en-cajatiendagarantia-_JM|S/.
5| Samsung Galaxy S6 Edge 32gb 4g Nuevo En Caja Libre+tienda¡ |2199.0||MercadoLíder Gold|Artículo nuevo|67|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416624431-samsung-galaxy-s6-edge-32gb-4g-nuevo-en-caja-libretienda-_JM|S/.
6| Super Oferta Huawei P8 Lite Octa Core 4g 1.2ghz 13mgpxl 16gb |759.0||MercadoLíder|Artículo nuevo|472|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416910209-super-oferta-huawei-p8-lite-octa-core-4g-12ghz-13mgpxl-16gb-_JM|S/.
7| Iphone 6 16gb 4g Apple Libre Caja Sellada Nuevo Mas Regalos |1899.0||MercadoLíder Gold|Artículo nuevo|238|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416709197-iphone-6-16gb-4g-apple-libre-caja-sellada-nuevo-mas-regalos-_JM|S/.
8| Lg G3 Beat D722 4g Lte Quad Core 13mpx +garantia+tienda¡¡ |669.0||MercadoLíder Gold|Artículo nuevo|188|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416652757-lg-g3-beat-d722-4g-lte-quad-core-13mpx-garantiatienda-_JM|S/.
9| Samsung Galaxy Note 5 4g Lte 32gb Libres De Fabrica |2398.0|||Artículo nuevo|52|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416633234-samsung-galaxy-note-5-4g-lte-32gb-libres-de-fabrica-_JM|S/.
10| Moto G 2015 3ra Generacion 16gb 13mpx Sellado Quad Core 1.4g |899.0||MercadoLíder Gold|Artículo nuevo|95|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416717610-moto-g-2015-3ra-generacion-16gb-13mpx-sellado-quad-core-14g-_JM|S/.
11| Huawei P8 Lite 4g Octa Core Ram 2gb 13mpx Libre Sellado |749.0|||Artículo nuevo|254|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417221735-huawei-p8-lite-4g-octa-core-ram-2gb-13mpx-libre-sellado-_JM|S/.
12| Oferta Samsung Galaxy S5 G900m 4g Lte Original Nuevo Libre |1319.0||MercadoLíder Gold|Artículo nuevo|223|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416739773-oferta-samsung-galaxy-s5-g900m-4g-lte-original-nuevo-libre-_JM|S/.
13| Apple Iphone 6 16gb 4g Libre Nuevo En Caja+tienda+garantia¡¡ |1899.0||MercadoLíder Gold|Artículo nuevo|187|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416544973-apple-iphone-6-16gb-4g-libre-nuevo-en-cajatiendagarantia-_JM|S/.
14| Oferta Lg G3 Beat D722p 4g Lte 13mpx Quad Core 1.2ghz Libre |669.0||MercadoLíder Gold|Artículo nuevo|472|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416545198-oferta-lg-g3-beat-d722p-4g-lte-13mpx-quad-core-12ghz-libre-_JM|S/.
15| S5 Quad Core Libre Koreano 13mpx 2gb Ram+ Regalos! Oferta!! |289.0|||Artículo nuevo|187|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416876291-s5-quad-core-libre-koreano-13mpx-2gb-ram-regalos-oferta-_JM|S/.
16| Iphone 6s 64gb 4g Lte A9 Ios9 4.7 Libre Nuevo/sellado |3099.99||MercadoLíder Gold|Artículo nuevo|22|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416594572-iphone-6s-64gb-4g-lte-a9-ios9-47-libre-nuevosellado-_JM|S/.
17| Oferta Samsung Galaxy Grand Prime Duos Original Nuevo Libre |599.0||MercadoLíder Gold|Artículo nuevo|71|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416495803-oferta-samsung-galaxy-grand-prime-duos-original-nuevo-libre-_JM|S/.
18| Super Oferta Moto G 3ra Generacion Xt1542 8gb 13mpx 4gb Lte |799.0||MercadoLíder|Artículo nuevo|61|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416762651-super-oferta-moto-g-3ra-generacion-xt1542-8gb-13mpx-4gb-lte-_JM|S/.
19| Huawei P8 16gb 4g 13mp 3gb Ram Octa Core Libre Sellado |1299.0||MercadoLíder Gold|Artículo nuevo|84|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416674965-huawei-p8-16gb-4g-13mp-3gb-ram-octa-core-libre-sellado-_JM|S/.
20| Oferta Sony Xperia E4 Quad Core 1.3ghz Ram 1gb Nuevo Libre |409.0||MercadoLíder Gold|Artículo nuevo|116|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416965992-oferta-sony-xperia-e4-quad-core-13ghz-ram-1gb-nuevo-libre-_JM|S/.
21| Iphone 5s 16gb 4g Apple Libre Caja Sellada Mas Regalos |1459.0||MercadoLíder Gold|Artículo nuevo|218|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416709186-iphone-5s-16gb-4g-apple-libre-caja-sellada-mas-regalos-_JM|S/.
22| Samsung Galaxy S6 Edge Plus 32gb 4g Lte Boleta+garantía+tda |2448.0|||Artículo nuevo|50|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416812509-samsung-galaxy-s6-edge-plus-32gb-4g-lte-boletagarantiatda-_JM|S/.
23| Iphone 5c 16gb 4g Lte Libre De Fabrica Sellado Nuevo En Caja |1100.0|Envío gratis|MercadoLíder Gold|Artículo nuevo|56|Peru|Callao|http://articulo.mercadolibre.com.pe/MPE-417161637-iphone-5c-16gb-4g-lte-libre-de-fabrica-sellado-nuevo-en-caja-_JM|S/.
24| Lg G4 Nuevo En Caja Libre 4g C/16mp 3gb Ram+tienda+garantia¡ |1499.0||MercadoLíder Gold|Artículo nuevo|78|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416975580-lg-g4-nuevo-en-caja-libre-4g-c16mp-3gb-ramtiendagarantia-_JM|S/.
25| Oferta Huawei P8 16gb 4g 13mp 3gb Ram Octa Core Libre Nuevo |1199.0||MercadoLíder Gold|Artículo nuevo|40|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417086882-oferta-huawei-p8-16gb-4g-13mp-3gb-ram-octa-core-libre-nuevo-_JM|S/.
26| Sansung Galaxy S6 Edge 32gb Negro , Blanco , Dorado , Verde |2099.0|||Artículo nuevo|47|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416808753-sansung-galaxy-s6-edge-32gb-negro-blanco-dorado-verde-_JM|S/.
27| Oferta Moto E 4g Xt1527 Segunda Generacion Quad Core 1.2ghz |399.0||MercadoLíder Gold|Artículo nuevo|197|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417221666-oferta-moto-e-4g-xt1527-segunda-generacion-quad-core-12ghz-_JM|S/.
28| Apple Iphone 6 Plus 16gb Sellado En Caja+tienda+garantia¡¡¡ |2299.0||MercadoLíder Gold|Artículo nuevo|90|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416503212-apple-iphone-6-plus-16gb-sellado-en-cajatiendagarantia-_JM|S/.
29| Samsung Galaxy S6 32gb 4g Libre Semi Nuevo Octa Core 16 Mpx |1599.0||MercadoLíder Gold|Artículo usado|20|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416679592-samsung-galaxy-s6-32gb-4g-libre-semi-nuevo-octa-core-16-mpx-_JM|S/.
30| Super Oferta Huawei P8 Ascend Ram 3gb 16gb Nuevo Original |1199.0||MercadoLíder|Artículo nuevo|45|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417086984-super-oferta-huawei-p8-ascend-ram-3gb-16gb-nuevo-original-_JM|S/.
31| Huawei P8 Lite Octa Core 4g Nuevo En Caja+tienda+garantia¡¡ |799.0||MercadoLíder Gold|Artículo nuevo|85|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416704836-huawei-p8-lite-octa-core-4g-nuevo-en-cajatiendagarantia-_JM|S/.
32| Apple Iphone 6s 64gb 4g Lte 12mp 2gb Ram Nuevo En Caja Libre |3049.99|||Artículo nuevo|22|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416285719-apple-iphone-6s-64gb-4g-lte-12mp-2gb-ram-nuevo-en-caja-libre-_JM|S/.
33| Huawei P8 Lite 4g Octare Core Ram 2gb 13mpx Libre Sellado |759.0||MercadoLíder Gold|Artículo nuevo|189|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416923149-huawei-p8-lite-4g-octare-core-ram-2gb-13mpx-libre-sellado-_JM|S/.
34| Oferta Samsung Galaxy Grand Prime G530 4g Lte Quad Core 8mpx |599.0||MercadoLíder Gold|Artículo nuevo|246|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416813449-oferta-samsung-galaxy-grand-prime-g530-4g-lte-quad-core-8mpx-_JM|S/.
35| Super Oferta Lg Leon Quad Core 1.2ghz Ram 1gb Lollipop Nuevo |429.0||MercadoLíder|Artículo nuevo|105|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416601067-super-oferta-lg-leon-quad-core-12ghz-ram-1gb-lollipop-nuevo-_JM|S/.
36| Moto G 2015 3ra Generacion 8gb 13mpx 4gb Sellado Quad Core |789.0|||Artículo nuevo|73|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416770133-moto-g-2015-3ra-generacion-8gb-13mpx-4gb-sellado-quad-core-_JM|S/.
37| Iphone 6 Apple 16gb 4g Lte Libre Semi Nuev Tambien 32gb 64gb |1599.0||MercadoLíder Gold|Artículo usado|69|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416902453-iphone-6-apple-16gb-4g-lte-libre-semi-nuev-tambien-32gb-64gb-_JM|S/.
38| Samsung Galaxy S6 Edge 64gb 4g Lte Libre De Fabrica 5 Locale |2348.0|Envío gratis||Artículo nuevo|28|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416757544-samsung-galaxy-s6-edge-64gb-4g-lte-libre-de-fabrica-5-locale-_JM|S/.
39| Oferta Lg Leon Quad Core 1.2ghz Ram 1gb 5mp 4.5 Ips Nuevo |429.0||MercadoLíder Gold|Artículo nuevo|107|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416601052-oferta-lg-leon-quad-core-12ghz-ram-1gb-5mp-45-ips-nuevo-_JM|S/.
40| Huawei P8 Lite Octa Core 4g 1.2ghz 13mgpxl 16gb |749.99|Envío gratis||Artículo nuevo|112|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417002648-huawei-p8-lite-octa-core-4g-12ghz-13mgpxl-16gb-_JM|S/.
41| Oferta Lg G4 4g 3gb Ram 16mpxls Nuevo Libre Caja Sellada |1399.0||MercadoLíder Gold|Artículo nuevo|28|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417223128-oferta-lg-g4-4g-3gb-ram-16mpxls-nuevo-libre-caja-sellada-_JM|S/.
42| Huawei Ascend P8 13mp 3gb Ram 16gb Memoria 4g Nuevo Garantia |1199.0||MercadoLíder Gold|Artículo nuevo|34|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417087084-huawei-ascend-p8-13mp-3gb-ram-16gb-memoria-4g-nuevo-garantia-_JM|S/.
43| Samsung Galaxy E7 4g 16gb 13mpx 2g Ram 1.2ghz Quad Core |969.0||MercadoLíder Gold|Artículo nuevo|57|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416608327-samsung-galaxy-e7-4g-16gb-13mpx-2g-ram-12ghz-quad-core-_JM|S/.
44| Super Oferta Moto G 2 Dual Sim Duos Xt1068 2da Generacion |579.0||MercadoLíder|Artículo nuevo|60|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416672204-super-oferta-moto-g-2-dual-sim-duos-xt1068-2da-generacion-_JM|S/.
45| Iphone 6s De 64gb, Video 4k, Gold, Nuevo En Caja Sellada! |2949.99||MercadoLíder|Artículo nuevo|30|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417221232-iphone-6s-de-64gb-video-4k-gold-nuevo-en-caja-sellada-_JM|S/.
46| Super Oferta Samsung Galaxy S5 Original 4g Caja Sellada !!! |1299.0||MercadoLíder|Artículo nuevo|189|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416739846-super-oferta-samsung-galaxy-s5-original-4g-caja-sellada--_JM|S/.
47| Samsung Galaxy S5 Nuevo En Caja Libre 4g Lte+micro Sd 16gb¡¡ |1319.0||MercadoLíder Gold|Artículo nuevo|147|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416902076-samsung-galaxy-s5-nuevo-en-caja-libre-4g-ltemicro-sd-16gb-_JM|S/.
48| Super Oferta Lg G4 H815 32gb 3gb Ram 4g Lte 16mxpls Nuevo |1399.0||MercadoLíder|Artículo nuevo|30|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417223197-super-oferta-lg-g4-h815-32gb-3gb-ram-4g-lte-16mxpls-nuevo-_JM|S/.
49| Oferta Motorola Moto X 3 Play Tercera Generacion 16gb Nuevo |1369.0||MercadoLíder Gold|Artículo nuevo|21|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416951739-oferta-motorola-moto-x-3-play-tercera-generacion-16gb-nuevo-_JM|S/.
50| Apple Iphone 6s 16gb 4g Lte 12mp 2gb Ram Nuevo En Caja Libre |2698.99|||Artículo nuevo|19|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416285584-apple-iphone-6s-16gb-4g-lte-12mp-2gb-ram-nuevo-en-caja-libre-_JM|S/.
51| S5 Quad Core Android 13mpx 2gb Ram + Regalos! Oferta Y Mas! |299.0|Envío gratis||Artículo nuevo|61|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416540068-s5-quad-core-android-13mpx-2gb-ram-regalos-oferta-y-mas-_JM|S/.
52| Super Oferta Samsung Galaxy Grand Prime Duos Selfy5mpx Nuevo |599.0||MercadoLíder|Artículo nuevo|57|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416495651-super-oferta-samsung-galaxy-grand-prime-duos-selfy5mpx-nuevo-_JM|S/.
53| Oferta Celular Android Lg L Fino Quad Core 1.2ghz 8mp Nuevo |439.0||MercadoLíder Gold|Artículo nuevo|187|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416949100-oferta-celular-android-lg-l-fino-quad-core-12ghz-8mp-nuevo-_JM|S/.
54| Motorola Moto X Xt1058 Dual Core 1.7g Ram 2gb Nuevo Original |749.0||MercadoLíder Gold|Artículo nuevo|60|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417221681-motorola-moto-x-xt1058-dual-core-17g-ram-2gb-nuevo-original-_JM|S/.
55| Sony Xperia Z5 Dual Sim 32gb 23mp 4k Nuevo Libre De Fabrica |2399.0|||Artículo nuevo|15|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416608232-sony-xperia-z5-dual-sim-32gb-23mp-4k-nuevo-libre-de-fabrica-_JM|S/.
56| Motorola Moto X 3 Play 16gb 3ra Gen 4g 21mpx 2gb Ram Sellado |1369.0||MercadoLíder Gold|Artículo nuevo|18|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416953220-motorola-moto-x-3-play-16gb-3ra-gen-4g-21mpx-2gb-ram-sellado-_JM|S/.
57| Iphone 6s 4g Lte 4k Pantalla 3dtouch Libre Fabrica 5 Locales |2698.0|||Artículo nuevo|16|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416787144-iphone-6s-4g-lte-4k-pantalla-3dtouch-libre-fabrica-5-locales-_JM|S/.
58| Super Oferta Samsung Galaxy E7 4g 16gb 13mpx 2g Ram Quadcore |969.0||MercadoLíder|Artículo nuevo|44|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416833359-super-oferta-samsung-galaxy-e7-4g-16gb-13mpx-2g-ram-quadcore-_JM|S/.
59| Samsung Galaxy Note 5 32gb 4g Lte Nuevo Garantia 3 Tiendas |2399.0|||Artículo nuevo|19|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416615921-samsung-galaxy-note-5-32gb-4g-lte-nuevo-garantia-3-tiendas-_JM|S/.
60| Sony Xperia Z5 Premium 4g 32gb 23mpx 4k Octacore 5 Locales |2798.0|||Artículo nuevo|17|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417020884-sony-xperia-z5-premium-4g-32gb-23mpx-4k-octacore-5-locales-_JM|S/.
61| Huawei P8 4g Lte 3gb Ram Nuevo En Caja Libre+tienda+garantia |1199.0||MercadoLíder Gold|Artículo nuevo|16|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416864861-huawei-p8-4g-lte-3gb-ram-nuevo-en-caja-libretiendagarantia-_JM|S/.
62| Moto G Xt1068 Duos 2da Generacion 8mp, 5 Sellado |629.99||MercadoLíder Gold|Artículo nuevo|69|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416864889-moto-g-xt1068-duos-2da-generacion-8mp-5-sellado-_JM|S/.
63| Lg G4 32gb Ram 3gb Libre 4g 16mpx Hexa Core Sellado Nuevo |1399.0||MercadoLíder Gold|Artículo nuevo|21|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417223356-lg-g4-32gb-ram-3gb-libre-4g-16mpx-hexa-core-sellado-nuevo-_JM|S/.
64| Super Oferta Sony Xperia E4 Ram 1gb Quad Core 1.3ghz Nuevo |409.0||MercadoLíder|Artículo nuevo|68|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-416966129-super-oferta-sony-xperia-e4-ram-1gb-quad-core-13ghz-nuevo-_JM|S/.
65| Iphone 6 16gb Libres/todo Operador/en Caja Stock Disponible |1749.0|||Artículo nuevo|86|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417107352-iphone-6-16gb-librestodo-operadoren-caja-stock-disponible-_JM|S/.
66| Celular Asus Zenfone 2 Ze551ml 4gb Ram 64gb 4g Lte Dual Sim |1289.0||MercadoLíder Gold|Artículo nuevo|32|Peru|Lima|http://articulo.mercadolibre.com.pe/MPE-417059287-celular-asus-zenfone-2-ze551ml-4gb-ram-64gb-4g-lte-dual-sim-_JM|S/.
