id|titulo|precioOld|precioNew|imagen|link
1|Smartphone Samsung Galaxy S6 Edge 32GB-Negro|3299.00|2149.00|//media.linio.com.pe/p/samsung-6117-9819331-1-product.jpg|/p/smartphone-samsung-galaxy-s6-edge-32gb-negro-jplptn
2|Huawei Ascend P8 Lite 16GB 13MP 5'' 4G LTE Desbloqueado-Negro|1599.00|929.00|//media.linio.com.pe/p/huawei-0724-2444921-1-product.jpg|/p/huawei-ascend-p8-lite-16gb-13mp-5-4g-lte-desbloqueado-negro-vcpp8m
3|Huawei P8 Lite 16GB 13MP 4G LTE - Dual Sim 5''-Negro|1599.00|899.00|//media.linio.com.pe/p/huawei-4710-6201441-1-product.jpg|/p/huawei-p8-lite-16gb-13mp-4g-lte-dual-sim-5-negro-orsbec
4|Smartphone Motorola Moto G XT1068 2da Generación 8GB 8MP 5'' Dual Sim Desbloqueado - Negro|999.00|569.00|//media.linio.com.pe/p/motorola-4511-1769921-1-product.jpg|/p/smartphone-motorola-moto-g-xt1068-2da-generacio-n-8gb-8mp-5-dual-sim-desbloqueado-negro-wygn1m
5|Samsung Galaxy S6 G920i 32GB-Negro|3599.00|1899.00|//media.linio.com.pe/p/samsung-3883-6266431-1-product.jpg|/p/samsung-galaxy-s6-g920i-32gb-negro-ors7ht
6|Smartphone Samsung Galaxy S6 Edge 32GB-Oro Platino|2999.00|2149.00|//media.linio.com.pe/p/samsung-3267-7771331-1-product.jpg|/p/smartphone-samsung-galaxy-s6-edge-32gb-oro-platino-n1a0jj
7|Apple iPhone 6 16GB-Negro|3300.00|1959.00|//media.linio.com.pe/p/apple-5770-084961-1-product.jpg|/p/apple-iphone-6-16gb-negro-ylhc9b
8|Smartphone LG Magna H502G Dual Sim 5" Quad Core 8MP frontal 5mp 8gb Negro|1200.00|629.00|//media.linio.com.pe/p/lg-0152-5148141-1-product.jpg|/p/smartphone-lg-magna-h502g-dual-sim-5-quad-core-8mp-frontal-5mp-8gb-negro-qfxl7o
9|Smartphone Blackberry Q5 8GB 5MP 3.1'' Desbloqueado - Blanco|1099.00|399.00|//media.linio.com.pe/p/blackberry-6978-397731-1-product.jpg|/p/smartphone-blackberry-q5-8gb-5mp-31-desbloqueado-blanco-tmaju9
10|Smartphone LG G4 Stylus HD 13MP Octa Core H540 Desbloqueado - Gris.|1599.00|999.00|//media.linio.com.pe/p/lg-4115-4223431-1-product.jpg|/p/smartphone-lg-g4-stylus-hd-13mp-octa-core-h540-desbloqueado-gris-s2uytt
11|LG Leon 8GB 8MP 4.5''  Desbloqueado - Blanco|999.00|509.00|//media.linio.com.pe/p/lg-8609-7861831-1-product.jpg|/p/lg-leon-8gb-8mp-45-desbloqueado-blanco-n0nid5
12|Smartphone Samsung Galaxy S4 Mini Duos I9192 8GB 8MP 4.3''-Blanco|1699.00|649.00|//media.linio.com.pe/p/samsung-8612-52794-1-product.jpg|/p/smartphone-samsung-galaxy-s4-mini-duos-i9192-8gb-8mp-43-blanco-qfdmtu
13|Smartphone Doogee Nova Y100X Negro|689.99|339.99|//media.linio.com.pe/p/doogee-7990-5958241-1-product.jpg|/p/smartphone-doogee-nova-y100x-negro-qb5wne
14|Galaxy Grand Prime SM-G530H Dual Sim-Blanco|1599.00|709.00|//media.linio.com.pe/p/samsung-6851-6387231-1-product.jpg|/p/galaxy-grand-prime-sm-g530h-dual-sim-blanco-or76j9
15|SONY XPERIA Z5 E6683 DUAL SIM 4G LTE LIBRE DE FABRICA -NEGRO|3500.00|2499.00|//media.linio.com.pe/p/sony-8529-2509241-1-product.jpg|/p/sony-xperia-z5-e6683-dual-sim-4g-lte-libre-de-fabrica-negro-vc5ntg
16|Asus Zenfone 2 ZE551ML DD 64GB RAM 4GB-Negro||1899.00|//media.linio.com.pe/p/asus-5363-6135441-1-product.jpg|/p/asus-zenfone-2-ze551ml-dd-64gb-ram-4gb-negro-osdnw6
17|Motorola - Moto E 2da Generación XT1527 4G Android Lollipop 5.0 8GB 5MP - Negro|950.00|449.00|//media.linio.com.pe/p/motorola-1899-1806911-1-product.jpg|/p/motorola-moto-e-2da-generacio-n-xt1527-4g-android-lollipop-50-8gb-5mp-negro-wxv9sv
18|Smartphone WOO SP4541 3G 4GB Blanco con cargador portatil|699.00|269.00|//media.linio.com.pe/p/woo-1308-2848441-1-product.jpg|/p/smartphone-woo-sp4541-3g-4gb-blanco-con-cargador-portatil-vacyb8
19|Samsung - Galaxy S4 Mini Duos I9192 8GB 8MP Desbloqueado - Negro|1699.00|649.00|//media.linio.com.pe/p/samsung-8438-220081-1-product.jpg|/p/samsung-galaxy-s4-mini-duos-i9192-8gb-8mp-desbloqueado-negro-vdz0fz
