id|origen|titulo|link|precio|moneda|monedaSimbolo|condicion|imagen|preciOld
1|li|Smartphone Samsung Galaxy S6 Edge 32GB-Negro|/p/smartphone-samsung-galaxy-s6-edge-32gb-negro-jplptn|2149.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-6117-9819331-1-product.jpg|3299.00
2|li|Huawei Ascend P8 Lite 16GB 13MP 5'' 4G LTE Desbloqueado-Negro|/p/huawei-ascend-p8-lite-16gb-13mp-5-4g-lte-desbloqueado-negro-vcpp8m|880.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-0724-2444921-1-product.jpg|1100.00
3|li|Huawei P8 Lite 16GB 13MP 4G LTE - Dual Sim 5''-Negro|/p/huawei-p8-lite-16gb-13mp-4g-lte-dual-sim-5-negro-orsbec|899.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-4710-6201441-1-product.jpg|1599.00
4|li|Smartphone Motorola Moto G XT1068 2da Generación 8GB 8MP 5'' Dual Sim Desbloqueado - Negro|/p/smartphone-motorola-moto-g-xt1068-2da-generacio-n-8gb-8mp-5-dual-sim-desbloqueado-negro-wygn1m|569.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-4511-1769921-1-product.jpg|999.00
5|li|Smartphone Samsung Galaxy S6 Edge 32GB-Oro Platino|/p/smartphone-samsung-galaxy-s6-edge-32gb-oro-platino-n1a0jj|2149.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-3267-7771331-1-product.jpg|2999.00
6|li|Samsung Galaxy S6 G920i 32GB-Negro|/p/samsung-galaxy-s6-g920i-32gb-negro-ors7ht|1899.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-3883-6266431-1-product.jpg|3599.00
7|li|Apple iPhone 6 16GB-Negro|/p/apple-iphone-6-16gb-negro-ylhc9b|1959.00|Sol|S/.|nuevo|//media.linio.com.pe/p/apple-5770-084961-1-product.jpg|3300.00
8|li|Smartphone LG Magna H502G Dual Sim 5" Quad Core 8MP frontal 5mp 8gb Negro|/p/smartphone-lg-magna-h502g-dual-sim-5-quad-core-8mp-frontal-5mp-8gb-negro-qfxl7o|629.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-0152-5148141-1-product.jpg|1200.00
9|li|Smartphone LG G4 Stylus HD 13MP Octa Core H540 Desbloqueado - Gris.|/p/smartphone-lg-g4-stylus-hd-13mp-octa-core-h540-desbloqueado-gris-s2uytt|999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-4115-4223431-1-product.jpg|1599.00
10|li|LG Leon 8GB 8MP 4.5''  Desbloqueado - Blanco|/p/lg-leon-8gb-8mp-45-desbloqueado-blanco-n0nid5|509.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-8609-7861831-1-product.jpg|999.00
11|li|Smartphone Samsung Galaxy S4 Mini Duos I9192 8GB 8MP 4.3''-Blanco|/p/smartphone-samsung-galaxy-s4-mini-duos-i9192-8gb-8mp-43-blanco-qfdmtu|649.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-8612-52794-1-product.jpg|1699.00
12|li|Smartphone Doogee Nova Y100X Negro|/p/smartphone-doogee-nova-y100x-negro-qb5wne|339.99|Sol|S/.|nuevo|//media.linio.com.pe/p/doogee-7990-5958241-1-product.jpg|689.99
13|li|Galaxy Grand Prime SM-G530H Dual Sim-Blanco|/p/galaxy-grand-prime-sm-g530h-dual-sim-blanco-or76j9|709.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-6851-6387231-1-product.jpg|1599.00
